epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6669642925262451,0.0010000000474974513,0.8687072396278381,0.25,19.000402450561523
1,0.75,0.0010000000474974513,0.6281875967979431,0.25,3.8534302711486816
2,0.7660714387893677,0.0010000000474974513,0.5415897369384766,0.25,5.263448715209961
3,0.7982142567634583,0.0010000000474974513,0.5252820253372192,0.25,3.5919833183288574
4,0.8258928656578064,0.00020000000949949026,0.4410977065563202,0.24166665971279144,3.011221408843994
5,0.875,0.00020000000949949026,0.34037840366363525,0.30000001192092896,2.1990439891815186
0,0.3214285671710968,9.999999747378752e-05,1.4909979104995728,0.34166666865348816,1.381232500076294
1,0.4732142984867096,9.999999747378752e-05,1.1905235052108765,0.25,1.4009747505187988
2,0.5,9.999999747378752e-05,1.0836657285690308,0.25,1.4284778833389282
3,0.5767857432365417,9.999999747378752e-05,0.9545711874961853,0.2854166626930237,1.4375871419906616
4,0.6133928298950195,9.999999747378752e-05,0.8873537182807922,0.39375001192092896,1.4261125326156616
5,0.6616071462631226,9.999999747378752e-05,0.8242682814598083,0.4541666805744171,1.162249207496643
6,0.6901785731315613,9.999999747378752e-05,0.7471731305122375,0.5354166626930237,1.0703485012054443
7,0.7178571224212646,9.999999747378752e-05,0.676674485206604,0.6395833492279053,0.8391276001930237
8,0.7160714268684387,9.999999747378752e-05,0.6572348475456238,0.7562500238418579,0.5726496577262878
9,0.7767857313156128,9.999999747378752e-05,0.549965500831604,0.6479166746139526,0.9418861865997314
10,0.7723214030265808,9.999999747378752e-05,0.5535811185836792,0.668749988079071,0.8731436133384705
11,0.8071428537368774,9.999999747378752e-05,0.5055077075958252,0.40625,2.3267669677734375
12,0.7875000238418579,9.999999747378752e-05,0.5492234826087952,0.7229166626930237,0.6689261198043823
13,0.7928571701049805,9.999999747378752e-05,0.548812747001648,0.6812499761581421,0.7856302261352539
14,0.8062499761581421,4.999999873689376e-05,0.4784591794013977,0.75,0.6380078792572021
15,0.8276785612106323,4.999999873689376e-05,0.47346076369285583,0.6791666746139526,0.9761241674423218
16,0.8294642567634583,4.999999873689376e-05,0.46386292576789856,0.6479166746139526,1.1249593496322632
17,0.8348214030265808,4.999999873689376e-05,0.45122280716896057,0.8062499761581421,0.4995623826980591
18,0.8241071701049805,4.999999873689376e-05,0.45744699239730835,0.7416666746139526,0.7129219174385071
19,0.8410714268684387,4.999999873689376e-05,0.3928130865097046,0.7979166507720947,0.5400608777999878
20,0.8214285969734192,4.999999873689376e-05,0.458938866853714,0.65625,0.9359558820724487
21,0.8544642925262451,4.999999873689376e-05,0.42718371748924255,0.606249988079071,1.1716554164886475
22,0.8473214507102966,4.999999873689376e-05,0.3963567316532135,0.8062499761581421,0.5228538513183594
23,0.8571428656578064,2.499999936844688e-05,0.3839118480682373,0.831250011920929,0.43096014857292175
24,0.8500000238418579,2.499999936844688e-05,0.4050706923007965,0.7791666388511658,0.5683923363685608
25,0.8785714507102966,2.499999936844688e-05,0.3502058684825897,0.8291666507720947,0.43993574380874634
26,0.862500011920929,2.499999936844688e-05,0.3965241312980652,0.7437499761581421,0.756249189376831
27,0.8455356955528259,2.499999936844688e-05,0.39360085129737854,0.8229166865348816,0.4595641791820526
28,0.875,2.499999936844688e-05,0.36637386679649353,0.8104166388511658,0.5156577229499817
29,0.8598214387893677,1.249999968422344e-05,0.3666078746318817,0.8458333611488342,0.4295255243778229
